Vectorizer,Model,Scaler,Num Features,Val MSE,Val RMSE,Val MAE,Val R²,Test MSE,Test RMSE,Test MAE,Test R²
BOW Unigram,Linear Regression,None,112,5319.524204940853,64.9891264097141,16.54705029859351,-173.48188141577083,407614.04930039344,638.446477138202,36.42765905918782,-0.0021736697700859508
BOW Unigram,Linear Regression,Min-Max,112,5548.397096070522,66.46125507133456,16.291102083909415,-195.95930923850656,407465.11949570366,638.3298278980433,36.25536204560852,-0.0018075059218078504
BOW Bigram,Linear Regression,None,227,186.23296574730097,12.796404713275367,4.811081736718165,-11.405754830130904,407503.05829319765,638.3596559344635,27.57452861340355,-0.0019007835308021636
BOW Bigram,Linear Regression,Min-Max,227,688.3646633662099,23.131773046986694,6.006468433964043,-39.54939725955526,407531.4177556295,638.3818671448839,28.222827950966206,-0.0019705090630472545
BOW Trigram,Linear Regression,None,333,192.30805368159477,12.909654501758066,4.5104456625200084,-12.093003414699666,407509.7407795421,638.3648907060099,27.27313921228019,-0.001917213317445876
BOW Trigram,Linear Regression,Min-Max,333,520.2775516359704,20.158766772573998,5.1704345647452445,-35.16323231541149,407490.75389229535,638.3500204006879,27.571687332947782,-0.0018705315151324787
TF-IDF Unigram,Linear Regression,None,112,142.37740035031362,11.732354793835881,7.773469228420905,-5.045349250445836,407316.18055528076,638.213239744704,31.049105855677237,-0.0014413196121077832
TF-IDF Unigram,Linear Regression,Min-Max,112,137.05870634710715,11.541312428193985,7.652385781115591,-4.92888773040887,407293.98031992186,638.195835931251,31.01615368727077,-0.0013867373635870095
TF-IDF Bigram,Linear Regression,None,227,46.130106148518976,6.694072931184399,2.797932767997613,-1.2208161400970314,407313.14962277294,638.2108971619112,26.058627443004706,-0.0014338676590666566
TF-IDF Bigram,Linear Regression,Min-Max,227,47.69092746213961,6.814660701308009,2.8206573639335866,-1.3122558535720794,407327.8564551854,638.2224188125165,26.02663795719164,-0.001470026373995248
TF-IDF Trigram,Linear Regression,None,333,46.14441987565486,6.688966931300317,2.7314346285533393,-1.2194458519161588,407307.0333875252,638.2061055494644,25.955646998976807,-0.0014188300764959028
TF-IDF Trigram,Linear Regression,Min-Max,333,47.46866249346949,6.791291398172524,2.7322115365679225,-1.2923354010220964,407317.3877260852,638.214217507317,25.90611821085533,-0.0014442876030227314
Word2Vec,Linear Regression,None,100,40.870255851745604,6.068072590011072,2.271245241165161,-0.744429087638855,407254.8478630857,638.1652197468285,25.663780686727836,-0.0012905249834155087
Word2Vec,Linear Regression,Min-Max,100,40.870665550231934,6.068087636461573,2.2712173461914062,-0.7444502353668213,407254.85784416436,638.1652275671116,25.663766599023553,-0.0012905495232324426
