Vectorizer,Model,Scaler,Val MSE,Val RMSE,Val MAE,Val R²,Test MSE,Test RMSE,Test MAE,Test R²
BOW Unigram,Polynomial Regression (Grau 2),None,32265.650799553056,85.24174838077806,5.417018464660524,-464.16944105287104,407277.8501013538,638.1832417880422,25.369238188891053,-0.001347079063378187
BOW Unigram,Polynomial Regression (Grau 2),Min-Max,3405136514.1757193,37107.518662198985,1529.7524501095263,-190594951.082217,410540.01416930126,640.7273605081524,28.813983049888066,-0.009367545828393099
BOW Unigram,Polynomial + Ridge,None,148659.01486745803,258.69044233989996,13.438182614100196,-6508.039709163733,407390.6919932722,638.2716441428947,25.947578711889104,-0.0016245159503591733
BOW Unigram,Polynomial + Ridge,Min-Max,22997.916319038322,113.0267231510522,6.604833577498833,-1204.3796105337417,407304.58161256806,638.2041848865199,25.382188043544552,-0.0014128020597714563
BOW Bigram,Polynomial Regression (Grau 2),None,30732.702341741726,81.79866255557673,5.196594916685987,-441.14127966900753,407277.7677612632,638.1831772764,25.368891140184,-0.001346876619250059
BOW Bigram,Polynomial Regression (Grau 2),Min-Max,4184923036.8502984,32995.07117111593,1362.0113773585547,-62819331.150549054,407486.2218243504,638.3464739195564,27.284858303976982,-0.0018593888198015663
BOW Bigram,Polynomial + Ridge,None,626843.6554930918,583.4703947574875,26.714220715188286,-49162.5856956802,407352.92322836583,638.2420565082004,25.867674012935304,-0.0015316563892281642
BOW Bigram,Polynomial + Ridge,Min-Max,25598.87775313366,120.61642243855795,6.945383257545723,-1264.0638564709127,407293.545489242,638.1955385737712,25.407260667642,-0.0013856682741902216
BOW Trigram,Polynomial Regression (Grau 2),None,10651.276566478127,49.54007439881196,3.874686151297797,-152.61908434509334,407277.946431508,638.1833172591774,25.36876790121001,-0.0013473159039489868
BOW Trigram,Polynomial Regression (Grau 2),Min-Max,143276384594.45007,175638.910830435,7203.362301643514,-2073125116.1342804,407599.550238959,638.4351968362682,28.12628118080496,-0.0021380218879022196
BOW Trigram,Polynomial + Ridge,None,548490.1192573068,517.5017573380443,23.98255887028077,-46596.98585776902,407384.5912056148,638.2668625925735,25.952973611626266,-0.0016095163477556796
BOW Trigram,Polynomial + Ridge,Min-Max,30707.804639294558,131.15462074014945,7.342569246646747,-1366.8252102484976,407286.1573032665,638.1897502293644,25.4091901517405,-0.0013675034305966616
TF-IDF Unigram,Polynomial Regression (Grau 2),None,49.363059391705086,6.786829500043657,3.6949062805866637,-0.9423811434924037,407246.9522781973,638.1590192618927,26.853474670415885,-0.001271112631716065
TF-IDF Unigram,Polynomial Regression (Grau 2),Min-Max,56.14629813882791,7.266083824814395,4.027001323420704,-1.2337639731946166,407258.4469386311,638.1680265810148,27.193446823145717,-0.0012993737921189296
TF-IDF Unigram,Polynomial + Ridge,None,28.73870827369881,5.0904725353469455,2.015678810371046,-0.01572618346253187,407325.7583230108,638.2207754062442,25.36916929379557,-0.001464867835361261
TF-IDF Unigram,Polynomial + Ridge,Min-Max,28.900875237099807,5.108913781357248,2.041540125170928,-0.024844214288118515,407334.0824519029,638.2272966074179,25.389418764125466,-0.0014853338198230314
TF-IDF Bigram,Polynomial Regression (Grau 2),None,273.1144709935885,15.100456944186003,7.271646487972556,-14.82795736278488,407547.4318321924,638.3943607853466,29.94434553614088,-0.0020098818125994455
TF-IDF Bigram,Polynomial Regression (Grau 2),Min-Max,331.7652657713021,16.596818562271405,8.322609768717324,-18.39809555137029,407765.2442289734,638.564878717824,31.09681229599206,-0.0025454027284708136
TF-IDF Bigram,Polynomial + Ridge,None,29.14128053736606,5.131093407870825,2.0503426471841006,-0.032851248859164885,407312.73835251294,638.2105750582134,25.396559099040683,-0.001432856496113777
TF-IDF Bigram,Polynomial + Ridge,Min-Max,29.292302279432835,5.147890642385773,2.084654941716446,-0.041238681893639106,407315.3320148786,638.2126069552312,25.423963737701637,-0.0014392333620132814
TF-IDF Trigram,Polynomial Regression (Grau 2),None,263.612319429503,15.075027384785198,7.0767053468088275,-14.427685513763473,407366.9128871625,638.2530008216212,29.78938916032264,-0.0015660518368806552
TF-IDF Trigram,Polynomial Regression (Grau 2),Min-Max,319.5170428613325,16.448212155271236,8.064367437985918,-18.165877013780328,407509.17872714606,638.3644197243118,30.73944751660091,-0.0019158314364402962
TF-IDF Trigram,Polynomial + Ridge,None,29.311027647011503,5.124721047364759,2.0323243035965315,-0.019360617690565962,407316.37796698516,638.2134265992105,25.39976894861952,-0.0014418049751919516
TF-IDF Trigram,Polynomial + Ridge,Min-Max,29.445756189504113,5.1409182960074435,2.051402059299844,-0.028044622563124833,407315.03944110265,638.2123779708885,25.417444864610882,-0.001438514030245308
Word2Vec,Polynomial Regression (Grau 2),None,64.88936595916748,7.186313521203656,2.1682520151138305,-2.1996909618377685,407270.72123440704,638.1776564535191,25.452320121872255,-0.0013295517903078925
Word2Vec,Polynomial Regression (Grau 2),Min-Max,124.41657619476318,9.16716018926363,2.26771936416626,-5.700356793403626,407279.00023654697,638.1841427938409,25.446831846857215,-0.0013499068246126456
Word2Vec,Polynomial + Ridge,None,42.31909255981445,6.108655381723512,2.0802014112472533,-0.8210286855697632,407283.3251719377,638.1875313482016,25.396937830508115,-0.0013605402568495518
Word2Vec,Polynomial + Ridge,Min-Max,54.01762657165527,6.682514076197577,2.1207927465438843,-1.5346291065216064,407285.7930190315,638.1894648168181,25.39740492242686,-0.0013666077890720717
